source_id,target_id,pair_id,label,cosine_tfidf,price_abs_diff,price_num_equal,brand_lev,brand_jaccard,brand_relaxed_jaccard,brand_overlap,brand_containment,title_lev,title_jaccard,title_relaxed_jaccard,title_overlap,title_cosine_tfidf,title_containment,modelno_day_diff,modelno_month_diff,modelno_year_diff,category_lev,category_jaccard,category_relaxed_jaccard,category_overlap,category_containment
581,17384,581-17384,0,0.38900632967216164,470.0,0.0,0.3846153846153846,0.5,0.5,0.0,1.0,0.5373134328358209,0.38461538461538464,0.38461538461538464,0.0,0.34736064098251995,0.625,-1.0,-1.0,-1.0,0.3157894736842105,0.0,0.0,0.0,0.0
1502,3825,1502-3825,0,0.28503631510941213,7.0,0.0,1.0,1.0,1.0,1.0,1.0,0.6904761904761905,0.5,0.5,0.0,0.2981109057546819,0.7142857142857143,-1.0,-1.0,-1.0,0.1428571428571429,0.0,0.0,0.0,0.0
337,20538,337-20538,0,0.15769000441847877,39.42999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.2717391304347826,0.4666666666666667,0.4666666666666667,0.0,0.2706297538052187,0.7777777777777778,-1.0,-1.0,-1.0,0.18518518518518523,0.0,0.0,0.0,0.0
53,13427,53-13427,0,0.44317751997868315,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,0.704225352112676,0.5,0.5,0.0,0.47838487315248973,0.6923076923076923,-1.0,-1.0,-1.0,0.3157894736842105,0.0,0.0,0.0,0.0
1560,3823,1560-3823,0,0.24716907312596056,4.84,0.0,0.08333333333333337,0.0,0.0,0.0,0.0,0.31818181818181823,0.5454545454545454,0.5454545454545454,0.0,0.5740190208387859,0.75,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0
2019,18973,2019-18973,0,0.44181723289708874,35.0,0.0,1.0,1.0,1.0,1.0,1.0,0.49397590361445787,0.5,0.5,0.0,0.5109554308542072,0.8333333333333334,-1.0,-1.0,-1.0,0.21052631578947367,0.0,0.0,0.0,0.0
2422,1257,2422-1257,0,0.038990922892684465,29.36,0.0,0.0,0.0,0.0,0.0,0.0,0.6153846153846154,0.3157894736842105,0.47058823529411764,0.0,0.0,0.6,-1.0,-1.0,-1.0,0.26315789473684215,0.0,0.0,0.0,0.0
155,3446,155-3446,1,0.5061429431013995,4.600000000000001,0.0,1.0,1.0,1.0,1.0,1.0,0.75,0.8,0.8,0.0,0.8107309914186763,1.0,-1.0,-1.0,-1.0,0.2666666666666667,0.0,0.0,0.0,0.0
261,5192,261-5192,1,0.7227452938456618,8.949999999999989,0.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666667,0.7,0.8888888888888888,0.0,0.6736156666887037,0.875,-1.0,-1.0,-1.0,0.4117647058823529,0.0,0.3333333333333333,0.0,0.0
25,12,25-12,0,0.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,0.39682539682539686,0.45454545454545453,0.45454545454545453,0.0,0.0,0.8333333333333334,-1.0,-1.0,-1.0,0.368421052631579,0.0,0.3333333333333333,0.0,0.0
483,1149,483-1149,0,0.0,74.08000000000001,0.0,1.0,1.0,1.0,1.0,1.0,0.452054794520548,0.47058823529411764,0.5625,0.0,0.0,0.7272727272727273,-1.0,-1.0,-1.0,0.55,0.6666666666666666,0.6666666666666666,0.0,1.0
376,9389,376-9389,1,0.7770227890838706,8.769999999999996,0.0,1.0,1.0,1.0,1.0,1.0,0.33333333333333337,0.5333333333333333,0.5333333333333333,0.0,0.7177848881744275,0.8,0,0,0,0.55,0.6666666666666666,0.6666666666666666,0.0,1.0
1564,12948,1564-12948,0,0.3778484346649334,12.09,0.0,1.0,1.0,1.0,1.0,1.0,0.64,0.45454545454545453,0.45454545454545453,0.0,0.5052626196587251,0.625,0,0,18,0.19354838709677424,0.0,0.0,0.0,0.0
23,19216,23-19216,0,0.4073598645020686,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,0.49275362318840576,0.35294117647058826,0.35294117647058826,0.0,0.3880493694985703,0.6,-1.0,-1.0,-1.0,0.2592592592592593,0.0,0.0,0.0,0.0
417,17561,417-17561,0,0.4302848039863239,2981.0,0.0,1.0,1.0,1.0,1.0,1.0,0.7384615384615385,0.5714285714285714,0.5714285714285714,0.0,0.5583005457394115,0.8,-1.0,-1.0,-1.0,0.3157894736842105,0.0,0.0,0.0,0.0
