source_id,target_id,pair_id,label,cosine_tfidf,authors_lev,authors_jaccard,authors_relaxed_jaccard,authors_overlap,authors_cosine_tfidf,authors_containment,year_abs_diff,year_num_equal,venue_lev,venue_jaccard,venue_relaxed_jaccard,venue_overlap,venue_containment,title_lev,title_jaccard,title_relaxed_jaccard,title_overlap,title_cosine_tfidf,title_containment
1756,1418,1756-1418,0,0.011896698971339246,0.17391304347826086,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.368421052631579,0.25,0.25,0.0,0.0,0.6
217,2135,217-2135,0,0.012776771331979941,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.4444444444444444,0.25,0.25,0.0,0.0,0.5
2476,1309,2476-1309,0,0.021564895200842468,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.20588235294117652,0.14285714285714285,0.14285714285714285,0.0,0.021175646490590696,0.3333333333333333
610,1595,610-1595,1,0.0,0.4545454545454546,1.0,1.0,0.0,0.0,1.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.7971014492753623,0.8,0.8,0.0,0.0,1.0
2183,1630,2183-1630,0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.35106382978723405,0.19047619047619047,0.19047619047619047,0.0,0.0,0.4
2580,616,2580-616,1,0.013183265022457973,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.7647058823529411,0.6666666666666666,0.6666666666666666,0.0,1.0,0.546875,0.36363636363636365,0.36363636363636365,0.0,0.020023185365809312,0.8
420,1866,420-1866,0,0.08741349348506061,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.04347826086956519,0.0,0.0,0.0,0.0,0.37777777777777777,0.18181818181818182,0.18181818181818182,0.0,0.0,0.3333333333333333
1541,747,1541-747,0,0.04462216778335376,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2592592592592593,0.21052631578947367,0.21052631578947367,0.0,0.10977127939731057,0.8
1278,1799,1278-1799,0,0.015540728389436868,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.33944954128440363,0.08695652173913043,0.08695652173913043,0.0,0.0,0.18181818181818182
1832,910,1832-910,0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.22137404580152675,0.14285714285714285,0.14285714285714285,0.0,0.0,0.5
2232,1122,2232-1122,0,0.039802973926089516,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.34959349593495936,0.15384615384615385,0.15384615384615385,0.0,0.036579773658307835,0.5
1061,1284,1061-1284,1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.6041666666666667,0.75,0.75,0.0,0.0,0.9230769230769231
1496,658,1496-658,0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.33684210526315794,0.125,0.125,0.0,0.0,0.25
1491,1179,1491-1179,0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.17910447761194026,0.0,0.0,0.0,0.0,0.4347826086956522,0.2222222222222222,0.2222222222222222,0.0,0.0,0.5
1459,1317,1459-1317,1,0.01112664452212657,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1.0,0.5609756097560976,0.25,0.25,0.0,0.5,0.5070422535211268,0.45454545454545453,0.45454545454545453,0.0,0.016862372514609748,1.0
2061,1072,2061-1072,0,0.007776673366008483,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.27472527472527475,0.17391304347826086,0.22727272727272727,0.0,0.017609093522256793,0.3076923076923077
2463,1546,2463-1546,1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.8380952380952381,0.7333333333333333,0.7333333333333333,0.0,0.0,0.9166666666666666
198,1213,198-1213,0,0.01592947973668179,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.26993865030674846,0.06451612903225806,0.06451612903225806,0.0,0.0,0.16666666666666666
267,1631,267-1631,0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.26086956521739135,0.14285714285714285,0.14285714285714285,0.0,0.5,0.40816326530612246,0.21428571428571427,0.21428571428571427,0.0,0.0,0.375
516,735,516-735,1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.3555555555555555,0.25,0.25,0.0,0.0,0.5714285714285714
1021,225,1021-225,0,0.021248512869187983,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,0.0,0.23529411764705888,0.25,0.25,0.0,0.5,0.36752136752136755,0.29411764705882354,0.29411764705882354,0.0,0.0,0.7142857142857143
1938,73,1938-73,1,0.05232136347002857,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.4838709677419355,0.3157894736842105,0.3157894736842105,0.0,0.13518738344382314,0.75
1466,990,1466-990,0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.3908045977011494,0.15789473684210525,0.2222222222222222,0.0,0.0,0.42857142857142855
1118,1915,1118-1915,0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.05882352941176472,0.0,0.0,0.0,0.0,0.2621359223300971,0.15,0.15,0.0,0.0,0.5
2038,895,2038-895,1,0.0,0.38983050847457623,1.0,1.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.6551724137931034,0.625,0.625,0.0,0.0,1.0
162,1511,162-1511,0,0.012380285721208738,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2857142857142857,0.17647058823529413,0.17647058823529413,0.0,0.0,0.3333333333333333
624,920,624-920,1,0.038033792111672786,1.0,1.0,1.0,1.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.8732394366197183,0.8333333333333334,0.8333333333333334,0.0,0.0,1.0
2227,2091,2227-2091,1,0.007350124493506641,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1.0,0.26086956521739135,0.14285714285714285,0.14285714285714285,0.0,0.5,0.7049180327868853,1.0,1.0,0.0,0.0,1.0
575,650,575-650,0,0.010139407086575663,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.3222222222222222,0.17647058823529413,0.17647058823529413,0.0,0.0,0.42857142857142855
39,323,39-323,0,0.0037246138867124824,0.23684210526315785,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.5,0.2,0.2,0.0,0.012364676920171453,0.4
2224,1051,2224-1051,0,0.006005990373451098,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.3846153846153846,0.2,0.2,0.0,0.01652477446963905,0.375
1610,1915,1610-1915,0,0.045373663417072094,0.1470588235294118,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.05882352941176472,0.0,0.0,0.0,0.0,0.35,0.2,0.2,0.0,0.06154811559595429,0.3333333333333333
1798,493,1798-493,0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,0.0,0.05882352941176472,0.0,0.0,0.0,0.0,0.3833333333333333,0.13333333333333333,0.13333333333333333,0.0,0.0,0.25
373,2239,373-2239,0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.35460992907801414,0.09375,0.12903225806451613,0.0,0.0,0.25
164,1467,164-1467,1,0.010827971840743224,0.3846153846153846,1.0,1.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.8,0.5833333333333334,0.5833333333333334,0.0,0.022913733385389247,0.7777777777777778
1143,1812,1143-1812,0,0.013894275575375446,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.3168316831683168,0.2,0.2,0.0,0.0,0.5
2081,1419,2081-1419,1,0.029614700086669762,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.19047619047619047,0.0,0.0,0.0,0.0,0.6237623762376238,0.6,0.6,0.0,0.015494418674882878,0.9
924,1026,924-1026,0,0.01369831498852948,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.19047619047619047,0.0,0.0,0.0,0.0,0.23333333333333328,0.0,0.0,0.0,0.0,0.0
1189,1969,1189-1969,1,0.0574363946974165,0.3846153846153846,1.0,1.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.8375,0.7272727272727273,0.7272727272727273,0.0,0.14680404553382043,0.8888888888888888
331,1701,331-1701,1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.18279569892473113,0.14285714285714285,0.14285714285714285,0.0,0.0,1.0
2031,1408,2031-1408,0,0.010499353982356194,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.19047619047619047,0.0,0.0,0.0,0.0,0.23188405797101452,0.125,0.2,0.0,0.0,0.2857142857142857
1496,1831,1496-1831,0,0.010720749791408747,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.3263157894736842,0.15789473684210525,0.15789473684210525,0.0,0.015291548458584471,0.42857142857142855
135,1441,135-1441,0,0.016054765823844335,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.33333333333333337,0.14285714285714285,0.14285714285714285,0.0,0.0,0.2857142857142857
1656,910,1656-910,0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.26717557251908397,0.11538461538461539,0.11538461538461539,0.0,0.0,0.2727272727272727
1475,1909,1475-1909,0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1943127962085308,0.05405405405405406,0.05405405405405406,0.0,0.0,0.2
1690,1640,1690-1640,0,0.03534182517059036,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.34883720930232553,0.1111111111111111,0.1111111111111111,0.0,0.020147849750711298,0.2222222222222222
424,1813,424-1813,1,0.016915490093911467,0.5,1.0,1.0,0.0,0.0,1.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.6428571428571428,0.6363636363636364,0.6363636363636364,0.0,0.017166732979297813,1.0
