source_id,target_id,pair_id,label,cosine_tfidf,phone_lev,phone_jaccard,phone_relaxed_jaccard,phone_overlap,phone_containment,addr_lev,addr_jaccard,addr_relaxed_jaccard,addr_overlap,addr_cosine_tfidf,addr_containment,name_lev,name_jaccard,name_relaxed_jaccard,name_overlap,name_containment,type_lev,type_jaccard,type_relaxed_jaccard,type_overlap,type_containment,class_abs_diff,class_num_equal,city_lev,city_jaccard,city_relaxed_jaccard,city_overlap,city_containment
92,184,92-184,0,0.0,0.41666666666666663,0.2,0.2,0.0,0.3333333333333333,0.631578947368421,0.4,0.4,0.0,0.0,0.6666666666666666,0.2272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,627.0,0.0,1.0,1.0,1.0,1.0,1.0
256,89,256-89,0,0.0,0.41666666666666663,0.2,0.2,0.0,0.3333333333333333,0.6923076923076923,0.3333333333333333,0.3333333333333333,0.0,0.0,0.5,0.07692307692307687,0.0,0.0,0.0,0.0,0.2142857142857143,0.0,0.0,0.0,0.0,369.0,0.0,0.6153846153846154,0.6666666666666666,0.6666666666666666,0.0,1.0
436,223,436-223,0,0.008176951909454175,0.25,0.0,0.0,0.0,0.0,0.6666666666666667,0.5,0.5,0.0,0.048066402273072815,0.6666666666666666,0.16666666666666663,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,431.0,0.0,0.16666666666666663,0.0,0.0,0.0,0.0
415,161,415-161,0,0.0,0.41666666666666663,0.2,0.5,0.0,0.3333333333333333,0.7333333333333334,0.5,0.5,0.0,0.0,0.6666666666666666,0.15000000000000002,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,280.0,0.0,1.0,1.0,1.0,1.0,1.0
18,46,18-46,0,0.0,0.5,0.2,0.2,0.0,0.3333333333333333,0.7777777777777778,0.5,0.5,0.0,0.0,0.6666666666666666,0.08333333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,562.0,0.0,0.09090909090909094,0.0,0.0,0.0,0.0
221,277,221-277,0,0.12094289769765407,0.41666666666666663,0.2,0.2,0.0,0.3333333333333333,0.75,0.3333333333333333,0.3333333333333333,0.0,0.04004248221874497,0.5,0.09090909090909094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,0.0,0.6153846153846154,0.6666666666666666,0.6666666666666666,0.0,1.0
43,257,43-257,0,0.03792007270497454,0.41666666666666663,0.2,0.2,0.0,0.3333333333333333,0.75,0.3333333333333333,0.3333333333333333,0.0,0.05383433470465464,0.5,0.25,0.0,0.0,0.0,0.0,0.2142857142857143,0.0,0.0,0.0,0.0,4.0,0.0,0.6153846153846154,0.6666666666666666,0.6666666666666666,0.0,1.0
356,93,356-93,0,0.008248982820388943,0.5,0.2,0.2,0.0,0.3333333333333333,0.8333333333333334,0.6,0.6,0.0,0.03417939694414033,0.75,0.1428571428571429,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,271.0,0.0,0.6153846153846154,0.6666666666666666,0.6666666666666666,0.0,1.0
24,268,24-268,0,0.028345507891948597,0.5,0.2,0.2,0.0,0.3333333333333333,0.75,0.3333333333333333,0.3333333333333333,0.0,0.02301960098121435,0.5,0.1428571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.6153846153846154,0.6666666666666666,0.6666666666666666,0.0,1.0
379,156,379-156,0,0.0,0.5,0.2,0.2,0.0,0.3333333333333333,0.85,0.6666666666666666,0.6666666666666666,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.3846153846153846,0.0,0.0,0.0,0.0,311.0,0.0,1.0,1.0,1.0,1.0,1.0
