source_id,target_id,pair_id,label,cosine_tfidf,authors_lev,authors_jaccard,authors_relaxed_jaccard,authors_overlap,authors_cosine_tfidf,authors_containment,title_lev,title_jaccard,title_relaxed_jaccard,title_overlap,title_cosine_tfidf,title_containment,year_abs_diff,year_num_equal,venue_lev,venue_jaccard,venue_relaxed_jaccard,venue_overlap,venue_containment
1756,1418,1756-1418,0,0.01199489118643494,0.17391304347826086,0.0,0.0,0.0,0.0,0.0,0.33333333333333337,0.3,0.3,0.0,0.0,0.6,1.0,0.0,0.04761904761904767,0.0,0.0,0.0,0.0
217,2135,217-2135,0,0.012937090926718742,0.0,0.0,0.0,0.0,0.0,0.0,0.8260869565217391,0.5,0.5,0.0,0.0,0.6666666666666666,0.0,1.0,0.19047619047619047,0.0,0.0,0.0,0.0
2476,1309,2476-1309,0,0.021770255967324015,0.15873015873015872,0.0,0.0,0.0,0.0,0.0,0.5,0.2857142857142857,0.2857142857142857,0.0,0.030890396451588094,0.6666666666666666,5.0,0.0,0.04878048780487809,0.0,0.0,0.0,0.0
610,1595,610-1595,1,0.0,0.4545454545454546,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.26086956521739135,0.14285714285714285,0.14285714285714285,0.0,0.5
2183,1630,2183-1630,0,0.0,0.04878048780487809,0.0,0.0,0.0,0.0,0.0,0.44897959183673475,0.36363636363636365,0.36363636363636365,0.0,0.0,0.5714285714285714,0.0,1.0,0.04347826086956519,0.0,0.0,0.0,0.0
2580,616,2580-616,1,0.013304218490272572,0.3414634146341463,0.5,0.5,0.0,0.0,0.6666666666666666,1.0,1.0,1.0,1.0,0.026704566924627495,1.0,0.0,1.0,0.7647058823529411,0.6666666666666666,0.6666666666666666,0.0,1.0
420,1866,420-1866,0,0.06171711782599219,0.17460317460317465,0.0,0.0,0.0,0.0,0.0,0.5333333333333333,0.25,0.25,0.0,0.0,0.4,1.0,0.0,0.04347826086956519,0.0,0.0,0.0,0.0
1541,747,1541-747,0,0.045779672694021986,0.16666666666666663,0.0,0.0,0.0,0.0,0.0,0.339622641509434,0.375,0.375,0.0,0.08002579103095118,1.0,6.0,0.0,0.23529411764705888,0.25,0.25,0.0,0.5
1278,1799,1278-1799,0,0.015681337219923687,0.2407407407407407,0.0,0.0,0.0,0.0,0.0,0.5428571428571429,0.2857142857142857,0.2857142857142857,0.0,0.0,0.5,4.0,0.0,0.26086956521739135,0.14285714285714285,0.14285714285714285,0.0,0.5
1832,910,1832-910,0,0.0,0.2272727272727273,0.0,0.0,0.0,0.0,0.0,0.32558139534883723,0.23076923076923078,0.23076923076923078,0.0,0.0,0.6,0.0,1.0,0.7647058823529411,0.6666666666666666,0.6666666666666666,0.0,1.0
2232,1122,2232-1122,0,0.04041135146611495,0.25,0.0,0.0,0.0,0.0,0.0,0.4225352112676056,0.3076923076923077,0.3076923076923077,0.0,0.05297295644053759,0.8,2.0,0.0,0.04761904761904767,0.0,0.0,0.0,0.0
1061,1284,1061-1284,1,0.0,0.4901960784313726,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.19047619047619047,0.0,0.0,0.0,0.0
1496,658,1496-658,0,0.0,0.23809523809523814,0.0,0.0,0.0,0.0,0.0,0.3846153846153846,0.2727272727272727,0.2727272727272727,0.0,0.0,0.5,5.0,0.0,0.23529411764705888,0.25,0.25,0.0,0.5
1491,1179,1491-1179,0,0.03121024034898517,0.125,0.0,0.0,0.0,0.0,0.0,0.4347826086956522,0.2222222222222222,0.2222222222222222,0.0,0.0,0.5,3.0,0.0,0.17910447761194026,0.0,0.0,0.0,0.0
1459,1317,1459-1317,1,0.011249928658854165,0.23529411764705888,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.02961680939289428,1.0,0.0,1.0,0.5609756097560976,0.25,0.25,0.0,0.5
2061,1072,2061-1072,0,0.007836159681341557,0.1578947368421053,0.0,0.0,0.0,0.0,0.0,0.23404255319148937,0.4444444444444444,0.4444444444444444,0.0,0.0,0.6666666666666666,1.0,0.0,0.19047619047619047,0.0,0.0,0.0,0.0
2463,1546,2463-1546,1,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.26086956521739135,0.14285714285714285,0.14285714285714285,0.0,0.5
198,1213,198-1213,0,0.016165548535868973,0.25,0.0,0.0,0.0,0.0,0.0,0.3589743589743589,0.125,0.125,0.0,0.0,0.3333333333333333,4.0,0.0,0.08955223880597019,0.1,0.1,0.0,0.5
267,1631,267-1631,0,0.0,0.11764705882352944,0.0,0.0,0.0,0.0,0.0,0.5405405405405406,0.3,0.3,0.0,0.0,0.5,6.0,0.0,0.26086956521739135,0.14285714285714285,0.14285714285714285,0.0,0.5
516,735,516-735,1,0.0,0.962962962962963,0.875,0.875,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.26086956521739135,0.14285714285714285,0.14285714285714285,0.0,0.5
1021,225,1021-225,0,0.021598402538329533,0.2063492063492064,0.0,0.0,0.0,0.0,0.0,0.5283018867924528,0.5,0.5,0.0,0.0,0.7142857142857143,3.0,0.0,0.23529411764705888,0.25,0.25,0.0,0.5
1938,73,1938-73,1,0.05284188548079153,0.4509803921568627,0.7,0.7,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.07793576798382679,1.0,0.0,1.0,0.26086956521739135,0.14285714285714285,0.14285714285714285,0.0,0.5
1466,990,1466-990,0,0.0,0.16666666666666663,0.0,0.0,0.0,0.0,0.0,0.7333333333333334,0.5,0.5,0.0,0.0,0.75,3.0,0.0,0.19047619047619047,0.0,0.0,0.0,0.0
1118,1915,1118-1915,0,0.0,0.14583333333333337,0.0,0.0,0.0,0.0,0.0,0.4814814814814815,0.3333333333333333,0.3333333333333333,0.0,0.0,0.6,1.0,0.0,0.05882352941176472,0.0,0.0,0.0,0.0
2038,895,2038-895,1,0.0,0.38983050847457623,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.19047619047619047,0.0,0.0,0.0,0.0
162,1511,162-1511,0,0.012601388393940281,0.23076923076923073,0.0,0.0,0.0,0.0,0.0,0.28846153846153844,0.375,0.375,0.0,0.0,0.75,0.0,1.0,0.15217391304347827,0.0,0.0,0.0,0.0
624,920,624-920,1,0.0388898530870728,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.7647058823529411,0.6666666666666666,0.6666666666666666,0.0,1.0
